姓名,角色,位置
林怡君,Leader,Leader
王小明,麻醉護理師,R1
陳美玲,麻醉護理師,R2
張志宏,麻醉護理師,R3
黃雅婷,麻醉護理師,R4
蔡宗翰,麻醉護理師,R5
李佳穎,麻醉護理師,R6
吳承恩,麻醉護理師,R7
鄭淑芬,麻醉護理師,R8
周志明,麻醉護理師,R9
許家豪,麻醉護理師,R10
劉怡伶,麻醉護理師,R11
蘇俊傑,麻醉護理師,R12
楊美華,麻醉護理師,R13
洪國榮,麻醉護理師,R14
呂佩芳,麻醉護理師,R15
何宗憲,麻醉護理師,R16
趙雅琪,麻醉護理師,R17
廖建志,麻醉護理師,R18
林秀英,前台,OPD前台
高志偉,前台,住院前台
簡惠如,訪視,麻後訪視
范文傑,諮詢,諮詢室
曾淑玲,衛教,衛教室
潘建宏,庫房,庫房
謝明珠,PAR,住院PAR
宋雅惠,PAR,門診PAR
方志豪,麻醉護理師,天使
江美玲,麻醉護理師,鏡檢
葉俊良,PAR,鏡檢PAR
鍾佳蓉,麻醉護理師,健檢
陸建安,PAR,健檢PAR
彭雅芳,PCA,PCA
施志銘,個管師,疼痛個案管理
余佩珊,個管師,ERAS個案管理
盧信宏,小夜,小夜A1
田美惠,小夜,小夜A2
石建文,小夜,小夜A3
董雅琳,小夜,小夜A4
馬志遠,大夜,大夜A1
康淑華,大夜,大夜A2
